"Taxonomic_Code","Identifier","Name_En","Name_Fr","Name_Es","Name_Ar","Name_Cn","Name_Ru","Scientific_Name","Author","Major_Group","Yearbook_Group","ISSCAAP_Group","CPC_Class","CPC_Group"
"1290100302","2074","Ladyfish","Guinée-machète","Malacho","","","","Elops saurus","Linnaeus 1766","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1290200401","2075","Tarpon","Tarpon argenté","Tarpón","","","","Megalops atlanticus","Valenciennes 1847","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1300100501","2076","Bonefish","Banane de mer","Macabí","","","Альбула","Albula vulpes","(Linnaeus 1758)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous coastal fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"12105XXXXX033","2077","Dagaas (=Kapenta)","Dagaas (=Kapenta)","Dagaas (=Kapenta)","","","","Stolothrissa, Limnothrissa spp","","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous freshwater fishes","Freshwater fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1210500107","2078","Pacific herring","Hareng du Pacifique","Arenque del Pacífico","","","Сельдь восточная","Clupea pallasii","Valenciennes 1847","PISCES","Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1210501102","2079","Pontic shad","Alose de la mer Noire","Sábalo del Mar Negro","","","Сельдь черноморско-азовская","Alosa pontica","(Eichwald 1838)","PISCES","Fish, crustaceans and molluscs, etc.","Shads","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1210501105","2080","Twaite shad","Alose feinte","Saboga(=Alosa)","","","Сельдь-финта","Alosa fallax","(Lacépède 1803)","PISCES","Fish, crustaceans and molluscs, etc.","Shads","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1210501106","2081","Alewife","Gaspareau","Pinchagua","","","Сероспинка (=элевайф)","Alosa pseudoharengus","(Wilson 1811)","PISCES","Fish, crustaceans and molluscs, etc.","Shads","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1210501107","2082","Blueback shad","Alose d'été du Canada","Sábalo del Canadá","","","","Alosa aestivalis","(Mitchill 1814)","PISCES","Fish, crustaceans and molluscs, etc.","Shads","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1210501108","2083","Hickory shad","Alose américaine","","","","","Alosa mediocris","(Mitchill 1814)","PISCES","Fish, crustaceans and molluscs, etc.","Shads","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"12105012XX","2084","Sardinellas nei","Sardinelles nca","Sardinelas nep","","","Сардинеллы","Sardinella spp","","PISCES","Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1210501203","2085","Goldstripe sardinella","Sardinelle dorée","Sardinela dorada","","","","Sardinella gibbosa","(Bleeker 1849)","PISCES","Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1210501204","2086","Indian oil sardine","Sardinelle indienne","Sardinela aceitera","","","","Sardinella longiceps","Valenciennes 1847","PISCES","Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1210501208","2087","Fringescale sardinella","Tunsoy","Tunsoy","","","","Sardinella fimbriata","(Valenciennes 1847)","PISCES","Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1210501210","2088","Round sardinella","Allache","Alacha","","","Сардинелла круглая (=алаша)","Sardinella aurita","Valenciennes 1847","PISCES","Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1210501217","2089","Madeiran sardinella","Grande allache","Machuelo","","","","Sardinella maderensis","(Lowe 1838)","PISCES","Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1210501224","2090","Brazilian sardinella","Sardinelle de Brésil","Sardinela del Brasil","","","","Sardinella brasiliensis","(Steindachner 1879)","PISCES","Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1210501303","2091","South American pilchard","Pilchard sudaméricain","Sardina sudamericana","","","Сардина-сардинопс перуанская","Sardinops sagax","de Buen 1958","PISCES","Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1210501801","2092","American gizzard shad","Alose noyer","Sábalo molleja","","","","Dorosoma cepedianum","(Lesueur 1818)","PISCES","Fish, crustaceans and molluscs, etc.","Shads","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1210502401","2093","Brazilian menhaden","Menhaden du Brésil","Savela","","","","Brevoortia aurea","(Spix & Agassiz 1829)","PISCES","Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1210502403","2094","Atlantic menhaden","Menhaden tyran","Lacha tirana","","","","Brevoortia tyrannus","(Latrobe 1802)","PISCES","Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1210503002","2095","Bonga shad","Ethmalose d'Afrique","Sábalo africano","","","Бонга","Ethmalosa fimbriata","(Bowdich 1825)","PISCES","Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1210503104","2096","Whitehead's round herring","Shadine de Angola","Sardina angoleña","","","","Etrumeus whiteheadi","Wongratana 1983","PISCES","Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1210503405","2097","Kelee shad","Alose palli","Sábalo chandano","","","Гильза индоокеанская (=гильза-кели)","Hilsa kelee","(Cuvier 1829)","PISCES","Fish, crustaceans and molluscs, etc.","Shads","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1210503803","2098","Reeves shad","","","","","","Tenualosa reevesii","(Richardson 1846)","PISCES","Fish, crustaceans and molluscs, etc.","Shads","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
